"medietype";"år";"Andel som har brukt ulike medier en gjennomsittsdag"
"Papiravis";"1991";84
"Papiravis";"1992";84
"Papiravis";"1994";85
"Papiravis";"1995";84
"Papiravis";"1996";82
"Papiravis";"1997";84
"Papiravis";"1998";81
"Papiravis";"1999";81
"Papiravis";"2000";77
"Papiravis";"2001";78
"Papiravis";"2002";77
"Papiravis";"2003";77
"Papiravis";"2004";75
"Papiravis";"2005";74
"Papiravis";"2006";74
"Papiravis";"2007";72
"Papiravis";"2008";68
"Papiravis";"2009";65
"Papiravis";"2010";64
"Papiravis";"2011";63
"Papiravis";"2012";55
"Papiravis";"2013";51
"Papiravis";"2014";49
"Papiravis";"2015";42
"Papiravis";"2016";39
"Papiravis";"2017";32
"Papiravis";"2018";30
"Papiravis";"2019";27
"Papiravis";"2020";24
"Papiravis";"2021";22
"Papiravis";"2022";21
"Papiravis";"2023";17
"TV";"1991";81
"TV";"1992";80
"TV";"1994";82
"TV";"1995";84
"TV";"1996";82
"TV";"1997";84
"TV";"1998";83
"TV";"1999";84
"TV";"2000";82
"TV";"2001";85
"TV";"2002";85
"TV";"2003";84
"TV";"2004";83
"TV";"2005";85
"TV";"2006";83
"TV";"2007";82
"TV";"2008";80
"TV";"2009";80
"TV";"2010";82
"TV";"2011";81
"TV";"2012";77
"TV";"2013";74
"TV";"2014";74
"TV";"2015";67
"TV";"2016";67
"TV";"2017";62
"TV";"2018";60
"TV";"2019";48
"TV";"2020";48
"TV";"2021";46
"TV";"2022";47
"TV";"2023";47
"Radio";"1991";71
"Radio";"1992";65
"Radio";"1994";67
"Radio";"1995";66
"Radio";"1996";59
"Radio";"1997";61
"Radio";"1998";59
"Radio";"1999";60
"Radio";"2000";57
"Radio";"2001";56
"Radio";"2002";58
"Radio";"2003";58
"Radio";"2004";58
"Radio";"2005";55
"Radio";"2006";54
"Radio";"2007";53
"Radio";"2008";54
"Radio";"2009";53
"Radio";"2010";56
"Radio";"2011";55
"Radio";"2012";60
"Radio";"2013";59
"Radio";"2014";64
"Radio";"2015";59
"Radio";"2016";59
"Radio";"2017";54
"Radio";"2018";50
"Radio";"2019";48
"Radio";"2020";49
"Radio";"2021";47
"Radio";"2022";49
"Radio";"2023";48
"Lydmedier";"1991";43
"Lydmedier";"1992";38
"Lydmedier";"1994";44
"Lydmedier";"1995";38
"Lydmedier";"1996";37
"Lydmedier";"1997";41
"Lydmedier";"1998";42
"Lydmedier";"1999";44
"Lydmedier";"2000";50
"Lydmedier";"2001";47
"Lydmedier";"2002";49
"Lydmedier";"2003";45
"Lydmedier";"2004";47
"Lydmedier";"2005";45
"Lydmedier";"2006";43
"Lydmedier";"2007";43
"Lydmedier";"2008";42
"Lydmedier";"2009";41
"Lydmedier";"2010";42
"Lydmedier";"2011";38
"Lydmedier";"2012";40
"Lydmedier";"2013";41
"Lydmedier";"2014";39
"Lydmedier";"2015";38
"Lydmedier";"2016";37
"Lydmedier";"2017";50
"Lydmedier";"2018";51
"Lydmedier";"2019";55
"Lydmedier";"2020";57
"Lydmedier";"2021";58
"Lydmedier";"2022";57
"Lydmedier";"2023";60
"Bøker";"1991";24
"Bøker";"1992";21
"Bøker";"1994";18
"Bøker";"1995";19
"Bøker";"1996";19
"Bøker";"1997";17
"Bøker";"1998";18
"Bøker";"1999";19
"Bøker";"2000";20
"Bøker";"2001";22
"Bøker";"2002";23
"Bøker";"2003";23
"Bøker";"2004";23
"Bøker";"2005";25
"Bøker";"2006";24
"Bøker";"2007";23
"Bøker";"2008";23
"Bøker";"2009";27
"Bøker";"2010";24
"Bøker";"2011";27
"Bøker";"2012";25
"Bøker";"2013";25
"Bøker";"2014";25
"Bøker";"2015";23
"Bøker";"2016";25
"Bøker";"2017";25
"Bøker";"2018";24
"Bøker";"2019";25
"Bøker";"2020";23
"Bøker";"2021";21
"Bøker";"2022";26
"Bøker";"2023";25
"Videomedier";"1991";10
"Videomedier";"1992";10
"Videomedier";"1994";11
"Videomedier";"1995";8
"Videomedier";"1996";9
"Videomedier";"1997";9
"Videomedier";"1998";8
"Videomedier";"1999";9
"Videomedier";"2000";10
"Videomedier";"2001";9
"Videomedier";"2002";10
"Videomedier";"2003";9
"Videomedier";"2004";10
"Videomedier";"2005";9
"Videomedier";"2006";10
"Videomedier";"2007";11
"Videomedier";"2008";12
"Videomedier";"2009";13
"Videomedier";"2010";13
"Videomedier";"2011";14
"Videomedier";"2012";12
"Videomedier";"2013";15
"Videomedier";"2014";22
"Videomedier";"2015";21
"Videomedier";"2016";26
"Videomedier";"2017";37
"Videomedier";"2018";37
"Videomedier";"2019";43
"Videomedier";"2020";51
"Videomedier";"2021";52
"Videomedier";"2022";51
"Videomedier";"2023";50
"Internett";"1991";..
"Internett";"1992";..
"Internett";"1994";..
"Internett";"1995";..
"Internett";"1996";..
"Internett";"1997";7
"Internett";"1998";10
"Internett";"1999";18
"Internett";"2000";27
"Internett";"2001";35
"Internett";"2002";35
"Internett";"2003";42
"Internett";"2004";44
"Internett";"2005";55
"Internett";"2006";60
"Internett";"2007";66
"Internett";"2008";71
"Internett";"2009";73
"Internett";"2010";77
"Internett";"2011";80
"Internett";"2012";80
"Internett";"2013";85
"Internett";"2014";88
"Internett";"2015";87
"Internett";"2016";89
"Internett";"2017";90
"Internett";"2018";91
"Internett";"2019";90
"Internett";"2020";92
"Internett";"2021";93
"Internett";"2022";93
"Internett";"2023";94
"Digitale spill";"1991";.
"Digitale spill";"1992";.
"Digitale spill";"1994";.
"Digitale spill";"1995";.
"Digitale spill";"1996";.
"Digitale spill";"1997";.
"Digitale spill";"1998";.
"Digitale spill";"1999";.
"Digitale spill";"2000";.
"Digitale spill";"2001";.
"Digitale spill";"2002";.
"Digitale spill";"2003";.
"Digitale spill";"2004";.
"Digitale spill";"2005";.
"Digitale spill";"2006";.
"Digitale spill";"2007";.
"Digitale spill";"2008";.
"Digitale spill";"2009";.
"Digitale spill";"2010";.
"Digitale spill";"2011";.
"Digitale spill";"2012";.
"Digitale spill";"2013";.
"Digitale spill";"2014";.
"Digitale spill";"2015";.
"Digitale spill";"2016";35
"Digitale spill";"2017";33
"Digitale spill";"2018";35
"Digitale spill";"2019";35
"Digitale spill";"2020";35
"Digitale spill";"2021";33
"Digitale spill";"2022";29
"Digitale spill";"2023";31
"Ukeblad";"1991";21
"Ukeblad";"1992";20
"Ukeblad";"1994";22
"Ukeblad";"1995";20
"Ukeblad";"1996";18
"Ukeblad";"1997";17
"Ukeblad";"1998";16
"Ukeblad";"1999";15
"Ukeblad";"2000";17
"Ukeblad";"2001";14
"Ukeblad";"2002";16
"Ukeblad";"2003";16
"Ukeblad";"2004";17
"Ukeblad";"2005";16
"Ukeblad";"2006";16
"Ukeblad";"2007";14
"Ukeblad";"2008";13
"Ukeblad";"2009";13
"Ukeblad";"2010";12
"Ukeblad";"2011";12
"Ukeblad";"2012";10
"Ukeblad";"2013";8
"Ukeblad";"2014";8
"Ukeblad";"2015";7
"Ukeblad";"2016";5
"Ukeblad";"2017";5
"Ukeblad";"2018";5
"Ukeblad";"2019";4
"Ukeblad";"2020";4
"Ukeblad";"2021";4
"Ukeblad";"2022";7
"Ukeblad";"2023";5
"Tidsskrift";"1991";18
"Tidsskrift";"1992";14
"Tidsskrift";"1994";16
"Tidsskrift";"1995";16
"Tidsskrift";"1996";16
"Tidsskrift";"1997";15
"Tidsskrift";"1998";14
"Tidsskrift";"1999";15
"Tidsskrift";"2000";14
"Tidsskrift";"2001";13
"Tidsskrift";"2002";14
"Tidsskrift";"2003";13
"Tidsskrift";"2004";12
"Tidsskrift";"2005";11
"Tidsskrift";"2006";11
"Tidsskrift";"2007";11
"Tidsskrift";"2008";14
"Tidsskrift";"2009";12
"Tidsskrift";"2010";13
"Tidsskrift";"2011";12
"Tidsskrift";"2012";9
"Tidsskrift";"2013";9
"Tidsskrift";"2014";9
"Tidsskrift";"2015";8
"Tidsskrift";"2016";8
"Tidsskrift";"2017";6
"Tidsskrift";"2018";6
"Tidsskrift";"2019";7
"Tidsskrift";"2020";5
"Tidsskrift";"2021";5
"Tidsskrift";"2022";8
"Tidsskrift";"2023";7
"Tegneserieblad";"1991";11
"Tegneserieblad";"1992";10
"Tegneserieblad";"1994";9
"Tegneserieblad";"1995";11
"Tegneserieblad";"1996";10
"Tegneserieblad";"1997";9
"Tegneserieblad";"1998";9
"Tegneserieblad";"1999";9
"Tegneserieblad";"2000";9
"Tegneserieblad";"2001";8
"Tegneserieblad";"2002";7
"Tegneserieblad";"2003";7
"Tegneserieblad";"2004";8
"Tegneserieblad";"2005";7
"Tegneserieblad";"2006";7
"Tegneserieblad";"2007";7
"Tegneserieblad";"2008";6
"Tegneserieblad";"2009";5
"Tegneserieblad";"2010";6
"Tegneserieblad";"2011";5
"Tegneserieblad";"2012";4
"Tegneserieblad";"2013";4
"Tegneserieblad";"2014";4
"Tegneserieblad";"2015";3
"Tegneserieblad";"2016";3
"Tegneserieblad";"2017";3
"Tegneserieblad";"2018";3
"Tegneserieblad";"2019";3
"Tegneserieblad";"2020";3
"Tegneserieblad";"2021";3
"Tegneserieblad";"2022";6
"Tegneserieblad";"2023";5
"Hjemme-PC";"1991";..
"Hjemme-PC";"1992";..
"Hjemme-PC";"1994";11
"Hjemme-PC";"1995";9
"Hjemme-PC";"1996";12
"Hjemme-PC";"1997";13
"Hjemme-PC";"1998";17
"Hjemme-PC";"1999";21
"Hjemme-PC";"2000";25
"Hjemme-PC";"2001";33
"Hjemme-PC";"2002";31
"Hjemme-PC";"2003";36
"Hjemme-PC";"2004";36
"Hjemme-PC";"2005";47
"Hjemme-PC";"2006";51
"Hjemme-PC";"2007";56
"Hjemme-PC";"2008";59
"Hjemme-PC";"2009";65
"Hjemme-PC";"2010";68
"Hjemme-PC";"2011";70
"Hjemme-PC";"2012";70
"Hjemme-PC";"2013";75
"Hjemme-PC";"2014";75
"Hjemme-PC";"2015";0
"Hjemme-PC";"2016";0
"Hjemme-PC";"2017";0
"Hjemme-PC";"2018";0
"Hjemme-PC";"2019";..
"Hjemme-PC";"2020";..
"Hjemme-PC";"2021";..
"Hjemme-PC";"2022";..
"Hjemme-PC";"2023";..
"Tekst-TV";"1991";..
"Tekst-TV";"1992";..
"Tekst-TV";"1994";..
"Tekst-TV";"1995";28
"Tekst-TV";"1996";30
"Tekst-TV";"1997";31
"Tekst-TV";"1998";34
"Tekst-TV";"1999";37
"Tekst-TV";"2000";38
"Tekst-TV";"2001";35
"Tekst-TV";"2002";37
"Tekst-TV";"2003";38
"Tekst-TV";"2004";37
"Tekst-TV";"2005";36
"Tekst-TV";"2006";..
"Tekst-TV";"2007";.
"Tekst-TV";"2008";.
"Tekst-TV";"2009";.
"Tekst-TV";"2010";.
"Tekst-TV";"2011";.
"Tekst-TV";"2012";.
"Tekst-TV";"2013";.
"Tekst-TV";"2014";.
"Tekst-TV";"2015";.
"Tekst-TV";"2016";.
"Tekst-TV";"2017";.
"Tekst-TV";"2018";.
"Tekst-TV";"2019";.
"Tekst-TV";"2020";.
"Tekst-TV";"2021";.
"Tekst-TV";"2022";.
"Tekst-TV";"2023";.
