Tid,Temperatur
24.74,33.0625
31.25,23.25
37.74,52.75
44.23,75.75
50.72,84.0625
57.22,87.875
63.71,89.625
70.20,90.6875
76.69,91.1875
83.19,91.4375
89.68,91.5
95.26,91.25
101.75,90.9375
108.24,90.6875
114.74,90.375
121.23,90
124.98,89.5625
138.90,88.9375
145.39,88.5
150.97,88
154.73,87.5625
161.22,87.3125
167.71,86.9375
174.20,86.5625
180.70,86.3125
187.19,86.0625
193.68,85.6875
207.58,84.9375
214.07,84.5625
220.56,84.0625
227.05,83.625
233.54,83.375
240.04,83.0625
246.53,82.6875
253.04,82.3125
259.54,82.0625
266.03,81.6875
272.52,81.3125
279.01,81.0625
285.50,80.8125
292.00,80.5
304.98,80
308.74,79.625
315.23,79.4375
321.72,79.1875
328.21,78.875
334.70,78.5625
341.20,78.3125
347.69,78
351.44,77.75
357.94,77.5625
364.45,77.3125
378.34,76.75
384.84,76.5
390.42,76.25
396.91,76.0625
403.40,75.8125
409.90,75.5625
416.39,75.3125
422.88,75.0625
429.37,74.8125
435.86,74.5625
442.36,74.3125
448.85,74.0625
455.34,73.8125
469.24,73.375
475.75,73.0625
482.24,72.8125
488.73,72.625
495.22,72.375
501.72,72.125
508.21,71.9375
514.70,71.6875
535.09,71.125
541.58,70.875
548.07,70.6875
554.56,70.4375
561.06,70.25
567.55,70
571.31,69.875
577.80,69.75
584.29,69.5625
590.78,69.375
597.30,69.1875
603.79,69.0625
610.28,68.8125
616.77,68.625
630.67,68.25
637.16,68
647.41,67.6875
653.90,67.5
659.48,67.3125
665.97,67.125
672.46,67
676.22,66.8125
682.71,66.75
689.20,66.5625
695.70,66.375
702.19,66.1875
708.70,66.0625
715.19,65.875
721.68,65.6875
728.18,65.5
733.76,65.375
740.25,65.1875
746.74,65.0625
753.23,64.875
759.72,64.6875
766.22,64.5625
772.71,64.375
779.20,64.25
785.69,64.125
792.18,64
795.94,63.8125
802.43,63.6875
808.92,63.5
814.50,63.375
821.02,63.1875
827.51,63.0625
834.00,62.875
840.49,62.75
846.98,62.5625
853.48,62.4375
859.97,62.3125
866.46,62.1875
872.95,62
876.71,61.875
883.20,61.75
889.70,61.625
896.19,61.5
901.77,61.375
908.26,61.25
914.75,61.125
921.24,61
925.00,60.875
931.49,60.8125
938.00,60.6875
944.50,60.5
950.08,60.375
956.57,60.3125
963.06,60.125
969.55,60
973.31,59.9375
979.80,59.875
986.29,59.75
992.78,59.625
999.28,59.4375
1005.77,59.375
1012.26,59.1875
1018.75,59.0625
1025.24,58.9375
1031.74,58.8125
1038.23,58.6875
1044.72,58.5625
1051.24,58.4375
1057.73,58.3125
1064.22,58.125
1070.71,58
1074.47,57.875
1080.96,57.8125
1087.45,57.6875
1093.94,57.5625
1100.44,57.5
1106.02,57.375
1112.51,57.25
1119.00,57.125
1125.49,57
1129.25,56.875
1135.74,56.8125
1142.23,56.6875
1148.72,56.5625
1155.24,56.4375
1161.73,56.3125
1168.22,56.25
1174.71,56.125
1181.20,56
1184.96,55.9375
1191.45,55.875
1197.95,55.75
1204.44,55.625
1210.93,55.5625
1217.42,55.4375
1223.92,55.3125
1230.41,55.25
1236.90,55.125
1243.39,55
1247.15,54.875
1253.64,54.8125
1260.15,54.75
1266.64,54.625
1273.14,54.5
1278.72,54.4375
1285.21,54.3125
1291.70,54.25
1298.19,54.125
1304.68,54
1308.44,53.9375
1314.93,53.875
1321.42,53.75
1327.92,53.6875
1334.41,53.625
1340.90,53.5
1346.48,53.375
1352.98,53.3125
1359.47,53.1875
1365.96,53.125
1372.47,53
1376.23,52.9375
1382.72,52.875
1389.21,52.75
1395.70,52.6875
1402.20,52.5625
1408.69,52.5
1414.27,52.375
1420.76,52.3125
1427.25,52.25
1433.74,52.125
1440.23,52
1443.99,52
1447.75,51.9375
1454.24,51.875
1460.73,51.75
1467.22,51.625
1473.72,51.5625
1480.23,51.5
1485.81,51.4375
1492.30,51.3125
1498.79,51.25
1505.29,51.125
1511.78,51.0625
1518.27,50.9375
1524.76,50.875
1531.26,50.8125
1537.75,50.75
1544.24,50.625
1550.73,50.5
1556.31,50.4375
1562.80,50.375
1569.30,50.3125
1575.79,50.1875
1582.29,50.125
1588.79,50.0625
1595.28,50
1599.04,49.875
1605.53,49.8125
1612.02,49.75
1618.51,49.6875
1625.00,49.5625
1631.50,49.5
1637.08,49.4375
1643.57,49.3125
1650.06,49.3125
1656.55,49.1875
1663.05,49.125
1669.54,49.0625
1676.03,49
1679.79,48.9375
1686.28,48.875
1692.79,48.8125
1699.28,48.6875
1705.78,48.625
1712.27,48.5625
1718.76,48.5
1724.34,48.4375
1730.83,48.375
1737.32,48.25
1743.82,48.1875
1750.31,48.125
1756.80,48
1760.55,48
1764.31,47.9375
1770.80,47.9375
1777.30,47.8125
1783.79,47.75
1790.28,47.6875
1796.90,47.625
1803.39,47.5
1808.97,47.5
1814.55,47.4375
1821.04,47.375
1827.54,47.25
1834.03,47.1875
1840.52,47.125
1847.01,47.0625
1853.50,47
1857.26,46.9375
1863.75,46.875
1870.24,46.8125
1876.74,46.75
1883.23,46.6875
1889.72,46.5625
1896.21,46.5
1901.81,46.5
1907.39,46.375
1913.88,46.3125
1920.38,46.25
1926.87,46.25
1933.36,46.1875
1939.85,46.0625
1946.34,46
1950.10,45.9375
1956.59,45.9375
1963.08,45.875
1969.58,45.75
1976.07,45.75
1982.56,45.625
1989.06,45.625
1995.55,45.5
2001.13,45.5
2006.71,45.4375
2013.22,45.375
2019.71,45.3125
2026.20,45.25
2032.70,45.1875
2039.19,45.125
2045.68,45
2049.43,45
2053.19,44.9375
2059.68,44.9375
2066.18,44.875
2072.67,44.8125
2079.16,44.75
2085.65,44.625
2092.14,44.625
2098.64,44.5
2104.22,44.5
2109.80,44.4375
2116.30,44.375
2122.80,44.3125
2129.29,44.25
2135.78,44.1875
2142.28,44.125
2148.77,44.0625
2155.26,44.0625
2161.75,44
2165.51,43.875
2172.00,43.875
2178.49,43.8125
2184.98,43.75
2191.48,43.6875
2197.97,43.6875
2204.46,43.625
2210.95,43.5625
2217.44,43.4375
2223.95,43.4375
2230.45,43.375
2236.94,43.3125
2243.43,43.25
2249.92,43.1875
2256.42,43.125
2262.91,43.0625
2269.40,43.0625
2275.89,43
2279.65,42.9375
2286.14,42.9375
2292.63,42.875
2299.13,42.8125
2305.62,42.75
2312.11,42.6875
2318.60,42.6875
2325.10,42.5625
2331.61,42.5
2337.19,42.5
2342.77,42.4375
2349.26,42.375
2355.75,42.3125
2362.24,42.25
2368.74,42.25
2375.23,42.1875
2381.72,42.125
2388.21,42.0625
2394.70,42
2398.46,41.9375
2404.95,41.9375
2411.44,41.875
2417.94,41.875
2424.43,41.8125
2430.92,41.75
2437.43,41.6875
2443.92,41.625
2450.42,41.5625
2456.91,41.5
2462.49,41.5
2468.07,41.4375
2474.56,41.4375
2481.06,41.375
2487.55,41.3125
2494.04,41.25
2500.53,41.1875
2507.02,41.1875
2513.52,41.125
2520.01,41.0625
2526.50,41
2530.25,41
2534.01,40.9375
2540.50,40.9375
2547.02,40.875
2553.51,40.8125
2560.00,40.75
2566.49,40.75
2572.98,40.6875
2579.48,40.625
2585.97,40.5625
2592.46,40.5
2598.04,40.5
2603.62,40.4375
2610.11,40.375
2616.61,40.3125
2623.10,40.3125
2629.59,40.25
2636.08,40.1875
2642.58,40.1875
2649.07,40.125
2655.58,40.0625
2662.07,40
2665.83,40
2669.58,40
2673.34,39.9375
2679.83,39.9375
2686.32,39.875
2692.82,39.8125
2699.31,39.75
2705.80,39.75
2712.29,39.6875
2718.78,39.625
2725.28,39.625
2731.77,39.5625
2738.26,39.5
2743.84,39.5
2749.42,39.4375
2755.92,39.375
2762.42,39.375
2768.92,39.3125
2775.41,39.3125
2781.90,39.25
2788.39,39.1875
2794.88,39.1875
2801.38,39.125
2807.87,39.0625
2814.36,39.0625
2820.85,39
2824.61,38.9375
2831.10,38.9375
2837.59,38.875
2844.08,38.875
2850.58,38.8125
2857.07,38.75
2863.58,38.75
2870.07,38.6875
2876.56,38.625
2883.06,38.625
2889.55,38.5625
2896.04,38.5
2901.62,38.5
2907.20,38.4375
2913.69,38.375
2920.18,38.375
2926.68,38.3125
2933.17,38.25
2939.66,38.25
2946.15,38.1875
2952.64,38.1875
2959.14,38.125
2965.63,38.0625
2972.14,38.0625
2978.63,38
2982.39,38
2986.14,37.9375
2992.64,37.9375
2999.13,37.875
3005.62,37.875
3012.11,37.8125
3018.60,37.8125
3025.10,37.75
3031.59,37.75
3038.08,37.6875
3044.57,37.625
3051.06,37.625
3057.56,37.5625
3064.05,37.5625
3070.54,37.5
3076.12,37.4375
3082.63,37.4375
3089.13,37.375
3095.62,37.375
3102.11,37.3125
3108.60,37.25
3115.10,37.25
3121.59,37.1875
3128.08,37.1875
3134.57,37.125
3141.06,37.0625
3147.56,37.0625
3154.05,37.0625
3160.54,37
3164.29,37
3168.05,36.9375
3174.54,36.9375
3181.04,36.875
3187.55,36.875
3194.04,36.8125
3200.53,36.8125
3207.02,36.75
3213.52,36.6875
3220.01,36.6875
3226.50,36.625
3232.99,36.5625
3239.49,36.5625
3245.98,36.5
3251.56,36.5
3257.14,36.5
3262.72,36.4375
3269.21,36.4375
3275.70,36.375
3282.20,36.3125
3288.69,36.3125
3295.20,36.3125
3301.69,36.25
3308.18,36.1875
3314.68,36.1875
3321.17,36.125
3327.66,36.125
3334.15,36.0625
3340.64,36.0625
3347.13,36
3350.89,35.9375
3357.38,35.9375
3363.88,35.9375
3370.37,35.875
3376.86,35.875
3383.35,35.8125
3389.84,35.8125
3396.36,35.75
3402.85,35.75
3409.34,35.6875
3415.84,35.6875
3422.33,35.625
3428.82,35.625
3435.31,35.5625
3441.80,35.5625
3448.30,35.5
3453.88,35.4375
3460.37,35.4375
3466.86,35.4375
3473.35,35.375
3479.84,35.375
3486.34,35.3125
3492.83,35.3125
3499.32,35.25
3505.94,35.25
3512.44,35.1875
3518.93,35.1875
3525.42,35.125
3531.91,35.0625
3538.40,35.0625
3544.90,35.0625
3551.39,35
3555.15,35
3558.90,34.9375
3565.40,34.9375
3571.89,34.9375
3578.38,34.875
3584.87,34.875
3591.36,34.8125
3597.86,34.8125
3604.35,34.8125
3610.86,34.75
3617.35,34.6875
3623.84,34.6875
3630.34,34.625
3636.83,34.625
3643.32,34.5625
3649.81,34.5625
3656.30,34.5
3661.88,34.5
3667.46,34.5
3673.04,34.4375
3679.54,34.4375
3686.03,34.375
3692.52,34.375
3699.01,34.3125
3705.50,34.3125
3712.00,34.3125
3718.51,34.25
3725.00,34.25
3731.50,34.25
3737.99,34.1875
3744.48,34.125
3750.97,34.125
3757.46,34.125
3763.96,34.0625
3770.45,34.0625
3776.94,34
3780.69,34
3784.45,34
3788.21,33.9375
3794.70,33.9375
3801.19,33.875
3807.68,33.875
3814.18,33.875
3820.67,33.8125
3827.18,33.8125
3833.67,33.75
3840.16,33.75
3846.66,33.6875
3853.15,33.6875
3859.64,33.6875
3866.13,33.625
3872.63,33.625
3879.12,33.5625
3885.61,33.5625
3892.10,33.5
3897.68,33.5
3903.26,33.5
3908.84,33.5
3914.42,33.4375
3920.92,33.4375
3927.41,33.375
3933.92,33.375
3940.41,33.3125
3946.90,33.3125
3953.40,33.3125
3959.89,33.25
3966.38,33.25
3972.87,33.25
3979.36,33.1875
3985.86,33.1875
3992.35,33.125
3998.84,33.125
4005.33,33.0625
4011.82,33.0625
4018.32,33.0625
4024.81,33
4028.57,33
4032.32,33
4036.09,32.9375
4042.59,32.9375
4049.08,32.9375
4055.57,32.875
4062.06,32.875
4068.56,32.8125
4075.05,32.8125
4081.54,32.8125
4088.03,32.75
4094.52,32.75
4101.02,32.75
4107.51,32.6875
4114.00,32.6875
4120.49,32.6875
4126.98,32.625
4133.48,32.625
4139.97,32.5625
4146.48,32.5625
4152.97,32.5625
4159.46,32.5
4165.04,32.5
4170.62,32.5
4176.20,32.4375
4182.70,32.4375
4189.19,32.4375
4195.68,32.375
4202.18,32.375
4208.67,32.3125
4215.16,32.3125
4221.65,32.25
4228.14,32.25
4234.64,32.25
4241.13,32.1875
4247.62,32.1875
4254.13,32.1875
4260.62,32.125
4267.12,32.125
4273.61,32.0625
4280.10,32.0625
4286.59,32.0625
4293.08,32
4296.84,32
4300.59,32
4304.35,32
4308.11,32
4311.86,31.9375
